src_id,ra,dec
tile_RA197.877_DECp29.223:973,198.1881532432,29.4179490174
tile_RA197.877_DECp30.223:309,197.6721602609,29.9547073755
tile_RA197.991_DECp40.223:381,198.3971370406,40.0471469591
tile_RA197.991_DECp41.223:1042,198.5380990873,41.3339150028
tile_RA197.991_DECp41.223:1044,197.9489881307,41.3401887103
tile_RA197.991_DECp42.223:252,198.4159948197,41.898429769
tile_RA197.991_DECp42.223:489,198.1711050849,42.0823773507
tile_RA197.991_DECp42.223:506,198.6101808509,42.0886233799
tile_RA197.991_DECp42.223:900,197.5038092273,42.4658750168
tile_RA197.991_DECp42.223:930,198.4743777104,42.4322254443
tile_RA198.095_DECp77.281:754,197.5043262744,77.7554961789
tile_RA198.581_DECp46.225:258,198.521801015,45.9284373547
tile_RA198.581_DECp46.225:975,198.946919513,46.5744476931
tile_RA198.581_DECp46.225:1003,199.0245366217,46.5001006224
tile_RA198.581_DECp46.225:1039,198.1119492784,46.5382330092
tile_RA198.581_DECp46.225:1104,198.9630929555,46.4926409981
tile_RA198.581_DECp48.225:988,198.7323177838,48.4909368247
tile_RA198.581_DECp48.225:1077,198.1697175712,48.4328135077
tile_RA198.581_DECp48.225:1147,198.5198604742,48.3763324493
tile_RA198.581_DECp48.225:1198,198.1574820238,48.3523837875
tile_RA198.581_DECp48.225:1343,198.1245007795,48.2335903567
tile_RA198.625_DECp72.265:1121,197.9701125492,72.5957745744
tile_RA198.727_DECp18.236:1402,198.7907421372,18.3923988121
tile_RA198.727_DECp18.236:1549,198.5183327006,18.2803060787
tile_RA198.762_DECp66.223:444,199.2784990228,65.9439019425
tile_RA198.762_DECp66.223:1156,198.3004719197,66.3067094769
tile_RA198.762_DECp66.223:1245,198.476963086,66.1445593363
tile_RA198.762_DECp66.223:1602,199.3292801668,66.4218236613
tile_RA198.784_DECp10.236:1195,199.1314162239,10.4878890388
tile_RA198.784_DECp11.236:935,198.9550777236,11.6647941306
tile_RA198.784_DECp12.236:1703,198.8408536058,12.3397797852
tile_RA198.827_DECp4.236:479,198.6231733092,3.9938702849
tile_RA198.827_DECp5.236:199,198.9796827727,4.8374749593
tile_RA198.827_DECp5.236:1239,198.8788937688,5.4901905361
tile_RA198.827_DECp6.236:1551,199.2821572993,6.2853217404
tile_RA198.859_DECm1.764:1125,198.9062425653,-1.6731414198
tile_RA198.879_DECm5.764:660,198.4430253374,-5.9502310807
tile_RA198.879_DECm5.764:1462,199.2511950856,-5.4935034645
tile_RA198.879_DECm6.764:971,198.8608533709,-6.2966826791
tile_RA198.879_DECm6.764:1645,198.9410297863,-6.5877305287
tile_RA198.879_DECm7.764:356,199.0827202465,-8.1103825524
tile_RA198.879_DECm7.764:822,198.4863764457,-7.9095739973
tile_RA198.879_DECm7.764:1666,199.1880861749,-7.5502818556
